UserName,D0_total_time,D0_num_games,D0_num_sessions,D0_num_genres,D0_most_played_genre,D0_most_played_game,D0_first_activity_hour,D0_last_activity_hour,D1,D2,D3,D6
0,30.91666667,3,2,4,1,13,19,19,0,1,1,0
111RGMG,34.28333333,5,3,3,0,8,11,11,1,1,0,0
1212,38.83333333,3,0,3,3,12,5,5,1,0,0,0
1234,62.1,15,6,9,15,10,19,19,1,0,1,1
12345,39.65,0,4,9,0,0,13,13,1,0,1,1
123456789,31.63333333,9,1,2,9,4,10,10,1,1,0,0
12370LSA,58.31666667,13,7,7,2,10,12,12,1,0,0,1
1244moh,110.9833333,10,10,5,10,2,23,23,0,1,1,0
1470,39.28333333,11,5,7,11,12,16,16,1,0,1,1
1521,69.23333333,4,9,9,4,9,14,14,1,0,1,1
17Pih,47.13333333,13,4,3,13,0,21,21,0,1,1,0
20102011,36.5,8,0,3,6,0,12,12,1,1,0,0
2012,56.88333333,12,6,0,0,13,20,20,0,1,1,0
2GGAMER,28.98333333,6,4,8,1,9,18,18,1,0,1,1
3333Akshadha,26.83333333,0,3,6,0,0,14,14,1,0,1,1
3542,29.05,5,0,5,5,2,20,20,0,1,1,1
357357,36.8,10,2,1,10,2,16,16,0,1,1,0
3gang,35.2,3,3,7,3,4,12,12,1,0,0,1
407,91.15,5,10,9,1,9,15,15,1,0,1,1
5hifa,50.33333333,2,7,0,0,26,13,13,1,1,1,0
7905827282,36.43333333,10,4,9,1,1,12,12,1,0,0,1
7YMSS,33.73333333,2,1,8,2,16,21,21,1,0,1,1
7iscool,41.9,11,3,9,7,8,12,12,1,0,0,1
897231,34.55,7,0,0,0,5,15,15,0,1,1,0
89822,48.1,7,9,9,7,12,20,20,1,0,1,1
9419100092,30.31666667,9,0,4,4,9,15,15,0,1,1,0
999tocxic,27.5,2,4,8,0,3,12,12,1,0,0,1
99RISHI5,83.9,14,10,6,1,4,0,0,1,0,0,1
AADHVAN,30.48333333,1,2,2,1,2,21,21,0,1,1,0
AAMEENA,27.08333333,2,4,0,0,6,21,21,0,1,1,0
AANAYA,31.35,0,3,7,0,0,23,23,1,0,1,1
AATA,28.28333333,6,2,1,6,4,18,18,0,1,1,0
ADITU,36.8,0,0,9,0,0,10,10,1,0,0,1
ADRIANA,57.95,0,2,9,0,0,23,23,1,0,1,1
